amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,log_amount,hour_sin,hour_cos,is_late_night,high_velocity,low_device_trust,risk_signal_count,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel
315.34,10,0,0,58,2,25,5.756817584535343,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0
98.95,11,0,0,80,0,24,4.604670060946409,0.258819045102521,-0.9659258262890682,0,0,0,0,1,0,0,0,0
474.99,10,1,0,49,4,36,6.165396845607379,0.49999999999999994,-0.8660254037844387,0,1,0,2,0,0,0,1,0
143.5,14,0,0,68,3,51,4.973279507552487,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0
14.06,12,0,0,57,1,18,2.7120422223717475,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,0,0
295.27,19,0,0,97,6,63,5.69127120071913,-0.9659258262890684,0.2588190451025203,0,1,0,1,0,1,0,0,0
465.41,16,0,0,32,1,61,6.145065075629759,-0.8660254037844385,-0.5000000000000004,0,0,1,1,0,0,0,1,0
165.17,7,0,0,88,4,37,5.113011360713122,0.9659258262890683,-0.25881904510252063,0,1,0,1,0,0,1,0,0
0.16,1,0,0,77,2,30,0.1484200051182733,0.25881904510252074,0.9659258262890683,1,0,0,1,0,0,0,1,0
105.27,21,0,0,63,1,36,4.6659830253846035,-0.7071067811865477,0.7071067811865474,0,0,0,0,1,0,0,0,0
234.68,7,0,0,69,2,36,5.46247495271432,0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,0,1,0
136.79,7,0,0,26,1,66,4.925730787005811,0.9659258262890683,-0.25881904510252063,0,0,1,1,0,1,0,0,0
129.42,3,0,0,93,3,49,4.870760011965056,0.7071067811865476,0.7071067811865476,1,0,0,1,1,0,0,0,0
29.62,4,0,0,57,1,62,3.4216533902295376,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,1,0
21.5,5,0,0,74,3,68,3.1135153092103742,0.9659258262890683,0.25881904510252074,1,0,0,1,0,0,0,1,0
526.0,23,0,0,91,1,27,6.267200548541362,-0.25881904510252157,0.9659258262890681,0,0,0,0,1,0,0,0,0
80.61,6,0,0,41,3,48,4.401951803481151,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0
295.08,18,0,0,89,1,65,5.690629688077901,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,0,1
39.33,18,0,0,54,2,43,3.697095608885277,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,1,0,0
155.78,16,0,0,46,4,18,5.0548435487605765,-0.8660254037844385,-0.5000000000000004,0,1,0,1,0,0,0,0,1
52.36,14,1,0,63,2,29,3.977061401607368,-0.4999999999999997,-0.8660254037844388,0,0,0,1,1,0,0,0,0
191.05,22,0,1,30,4,60,5.257755754791914,-0.5000000000000004,0.8660254037844384,0,1,1,3,0,0,0,1,0
98.73,9,0,0,40,3,25,4.602466534413777,0.7071067811865476,-0.7071067811865475,0,0,0,0,1,0,0,0,0
7.94,14,0,0,84,2,59,2.190535589185423,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0
108.69,21,0,0,69,1,48,4.6976582054232425,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,1,0,0,0
17.12,4,0,0,41,3,48,2.8970163006148333,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,1,0
132.32,9,0,0,63,0,46,4.8927522534395385,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,0,0,1
90.4,15,0,0,67,3,21,4.515245478460105,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,0,1,0,0
29.82,7,0,0,30,5,43,3.42816382989197,0.9659258262890683,-0.25881904510252063,0,1,1,2,0,0,1,0,0
31.53,17,0,0,87,2,52,3.48216274048526,-0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,1,0,0
32.88,3,0,0,83,5,37,3.522824869783854,0.7071067811865476,0.7071067811865476,1,1,0,2,0,0,0,0,1
171.33,22,0,0,50,1,53,5.1494112432934855,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,0,1
195.97,11,1,0,81,0,26,5.2830514328776035,0.258819045102521,-0.9659258262890682,0,0,0,1,1,0,0,0,0
228.14,6,1,0,48,2,42,5.43433317046548,1.0,6.123233995736766e-17,0,0,0,1,0,1,0,0,0
93.78,8,0,0,94,0,45,4.551558416539442,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,1,0,0
198.43,14,1,0,88,0,50,5.295463297565131,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,0,0,1,0
138.55,4,0,0,31,2,22,4.938422959982331,0.8660254037844386,0.5000000000000001,1,0,1,2,0,0,0,0,1
207.38,9,0,0,28,1,53,5.339363335984038,0.7071067811865476,-0.7071067811865475,0,0,1,1,0,0,1,0,0
0.94,6,0,0,82,1,18,0.6626879730752367,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,1
59.77,12,1,0,92,1,45,4.107096246147264,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,1
230.47,11,0,0,89,1,41,5.444450275495997,0.258819045102521,-0.9659258262890682,0,0,0,0,0,1,0,0,0
469.14,14,1,0,31,4,58,6.153030522689372,-0.4999999999999997,-0.8660254037844388,0,1,1,3,0,0,0,1,0
10.84,22,0,0,90,2,40,2.4714836294558595,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,1,0,0
121.86,9,0,0,31,1,36,4.811045495735781,0.7071067811865476,-0.7071067811865475,0,0,1,1,0,0,0,0,1
393.59,18,0,0,45,2,46,5.977847251148797,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,1,0,0
115.86,11,1,0,57,2,42,4.760976637126291,0.258819045102521,-0.9659258262890682,0,0,0,1,0,0,1,0,0
61.65,23,0,0,33,0,60,4.137563681342077,-0.25881904510252157,0.9659258262890681,0,0,1,1,1,0,0,0,0
67.88,6,0,0,30,3,50,4.232365860119475,1.0,6.123233995736766e-17,0,0,1,1,0,0,0,0,1
69.09,16,0,0,52,2,40,4.249780130512233,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,1,0,0,0
510.29,6,0,1,80,3,67,6.236936943905255,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,1,0
123.27,16,0,0,71,4,23,4.822456617817903,-0.8660254037844385,-0.5000000000000004,0,1,0,1,0,0,1,0,0
275.34,20,0,0,84,3,39,5.621631991628523,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0
18.33,15,0,0,70,2,58,2.9616582932202395,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,0,0,1,0
21.5,21,0,0,74,2,21,3.1135153092103742,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,0,0,1,0
33.24,2,0,0,89,2,37,3.5333945512735414,0.49999999999999994,0.8660254037844387,1,0,0,1,0,0,0,1,0
70.13,17,1,0,46,3,51,4.264509188745424,-0.9659258262890683,-0.25881904510252063,0,0,0,1,0,1,0,0,0
38.48,21,0,0,36,4,58,3.675794214565281,-0.7071067811865477,0.7071067811865474,0,1,1,2,0,0,1,0,0
570.49,14,0,0,62,4,56,6.348246985269004,-0.4999999999999997,-0.8660254037844388,0,1,0,1,0,1,0,0,0
210.54,10,0,0,68,1,54,5.354414105899907,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0
104.87,23,0,0,72,1,57,4.662211926355289,-0.25881904510252157,0.9659258262890681,0,0,0,0,1,0,0,0,0
78.51,8,0,0,26,1,18,4.375882799913392,0.8660254037844387,-0.4999999999999998,0,0,1,1,0,1,0,0,0
36.66,13,0,1,28,1,40,3.628598523229006,-0.2588190451025208,-0.9659258262890683,0,0,1,2,0,0,0,0,1
296.52,0,0,0,99,3,18,5.695481449616815,0.0,1.0,1,0,0,1,0,1,0,0,0
130.22,0,0,0,65,0,26,4.876875303916732,0.0,1.0,1,0,0,1,0,0,0,1,0
4.49,4,0,0,54,0,30,1.7029282555214393,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,1,0,0
3.29,23,0,0,48,2,29,1.4562867329399256,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,1,0,0,0
70.6,22,0,0,46,2,43,4.2710950739666,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,1,0,0
59.11,19,0,0,45,1,43,4.09617621705107,-0.9659258262890684,0.2588190451025203,0,0,0,0,0,0,0,1,0
517.88,23,0,0,80,6,30,6.251672642559008,-0.25881904510252157,0.9659258262890681,0,1,0,1,0,0,0,0,1
41.0,2,0,0,85,3,57,3.7376696182833684,0.49999999999999994,0.8660254037844387,1,0,0,1,0,0,1,0,0
8.37,16,0,0,98,2,39,2.2375130962503307,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,0,0,0,1
95.86,21,0,0,88,2,62,4.573266636975083,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,0,0,0,1
542.04,8,0,0,81,0,25,6.297182982045862,0.8660254037844387,-0.4999999999999998,0,0,0,0,1,0,0,0,0
24.55,21,1,0,91,3,56,3.2406373166497136,-0.7071067811865477,0.7071067811865474,0,0,0,1,1,0,0,0,0
142.31,4,1,0,65,2,41,4.96501011606998,0.8660254037844386,0.5000000000000001,1,0,0,2,1,0,0,0,0
48.81,16,0,0,53,4,46,3.908215767085192,-0.8660254037844385,-0.5000000000000004,0,1,0,1,0,0,0,0,1
340.82,9,0,0,76,2,48,5.834284282720359,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,0,0,1
10.36,11,0,0,67,2,54,2.4300984132930052,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,0,0,1
31.95,16,1,0,42,2,64,3.4949912609485163,-0.8660254037844385,-0.5000000000000004,0,0,0,1,0,1,0,0,0
136.41,11,0,0,40,3,57,4.922969157343683,0.258819045102521,-0.9659258262890682,0,0,0,0,0,1,0,0,0
13.24,22,0,0,64,4,62,2.65605490598383,-0.5000000000000004,0.8660254037844384,0,1,0,1,0,1,0,0,0
28.55,14,0,0,96,2,32,3.386083743852107,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0
0.24,13,0,0,30,3,53,0.2151113796169455,-0.2588190451025208,-0.9659258262890683,0,0,1,1,1,0,0,0,0
251.51,22,0,0,56,2,41,5.531450851891594,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,1,0
20.92,17,0,0,30,2,62,3.087399462079815,-0.9659258262890683,-0.25881904510252063,0,0,1,1,0,0,1,0,0
199.97,21,0,1,79,3,63,5.303155643188286,-0.7071067811865477,0.7071067811865474,0,0,0,1,0,0,1,0,0
172.1,13,0,0,89,2,49,5.153869462182164,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,1,0,0,0
25.28,1,0,0,92,2,49,3.26880819361641,0.25881904510252074,0.9659258262890683,1,0,0,1,0,1,0,0,0
202.91,1,0,0,46,0,68,5.317678720026657,0.25881904510252074,0.9659258262890683,1,0,0,1,0,1,0,0,0
285.35,11,0,0,29,2,28,5.657214838839867,0.258819045102521,-0.9659258262890682,0,0,1,1,0,0,1,0,0
357.37,13,1,0,68,4,49,5.881565972240144,-0.2588190451025208,-0.9659258262890683,0,1,0,2,1,0,0,0,0
136.83,13,0,0,30,3,20,4.926021041706347,-0.2588190451025208,-0.9659258262890683,0,0,1,1,0,1,0,0,0
18.44,8,0,0,80,4,53,2.967332799032293,0.8660254037844387,-0.4999999999999998,0,1,0,1,1,0,0,0,0
205.23,2,0,0,40,4,64,5.328992050815955,0.49999999999999994,0.8660254037844387,1,1,0,2,0,0,1,0,0
428.43,0,0,1,66,1,25,6.062458747932046,0.0,1.0,1,0,0,2,0,0,0,0,1
723.9,8,0,0,93,2,42,6.586033714306832,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,1,0,0
32.9,17,0,0,57,2,46,3.5234150143864045,-0.9659258262890683,-0.25881904510252063,0,0,0,0,0,1,0,0,0
504.92,19,0,0,56,1,59,6.226378554021108,-0.9659258262890684,0.2588190451025203,0,0,0,0,0,1,0,0,0
529.59,4,0,0,53,1,24,6.273989594937273,0.8660254037844386,0.5000000000000001,1,0,0,1,1,0,0,0,0
306.46,6,0,0,46,1,31,5.728344997484453,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,1,0
121.07,5,0,0,37,1,68,4.804594650681708,0.9659258262890683,0.25881904510252074,1,0,1,2,0,0,0,1,0
19.33,10,0,0,59,2,68,3.012097627640255,0.49999999999999994,-0.8660254037844387,0,0,0,0,1,0,0,0,0
29.36,19,0,0,26,3,44,3.4131259525274293,-0.9659258262890684,0.2588190451025203,0,0,1,1,1,0,0,0,0
231.35,23,0,0,62,2,67,5.448244855530987,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,1,0,0,0
607.77,21,0,0,86,1,67,6.411440528066557,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,0,0,0,1
185.55,12,0,0,51,0,27,5.228699299667167,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,0,0
36.88,19,0,0,44,1,46,3.6344232683178777,-0.9659258262890684,0.2588190451025203,0,0,0,0,0,1,0,0,0
218.3,0,0,0,66,1,47,5.390440655423842,0.0,1.0,1,0,0,1,0,1,0,0,0
156.49,18,0,0,36,3,68,5.05936196418649,-1.0,-1.8369701987210297e-16,0,0,1,1,0,0,0,0,1
858.88,13,0,0,82,3,49,6.756792844627935,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,0,1,0,0
105.93,2,0,0,73,2,56,4.672174414768565,0.49999999999999994,0.8660254037844387,1,0,0,1,0,0,1,0,0
209.89,11,0,0,25,1,53,5.351336670523673,0.258819045102521,-0.9659258262890682,0,0,1,1,0,0,1,0,0
360.84,15,0,0,42,2,29,5.891202125169587,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,0,1,0,0
118.03,4,0,0,96,2,57,4.779375562179788,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,1,0,0
29.55,14,1,0,81,2,40,3.4193646856176043,-0.4999999999999997,-0.8660254037844388,0,0,0,1,0,1,0,0,0
324.59,19,0,0,39,4,44,5.785638921126033,-0.9659258262890684,0.2588190451025203,0,1,1,2,1,0,0,0,0
84.47,6,1,0,48,1,46,4.448165437177926,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,1,0
95.21,13,0,0,82,3,39,4.566533302373173,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,0,1,0,0
156.76,10,1,0,92,1,31,5.061074890854325,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,1,0
321.5,4,0,0,85,1,44,5.776103136235827,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,1,0
24.05,13,0,0,31,1,23,3.2208738275308737,-0.2588190451025208,-0.9659258262890683,0,0,1,1,1,0,0,0,0
111.58,8,0,0,60,3,26,4.7236640800358805,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,0,1
285.09,6,0,0,35,3,58,5.656306446631499,1.0,6.123233995736766e-17,0,0,1,1,0,0,0,0,1
39.42,6,1,0,68,2,42,3.699324711975475,1.0,6.123233995736766e-17,0,0,0,1,0,1,0,0,0
105.31,11,1,0,37,2,19,4.666359354300514,0.258819045102521,-0.9659258262890682,0,0,1,2,0,0,0,1,0
237.21,13,0,0,53,1,67,5.473152637568128,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,0,0,0,1
41.22,10,0,0,91,3,69,3.7428940424201746,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0
3.25,18,0,0,70,2,67,1.4469189829363254,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,1,0,0
100.08,10,0,0,92,2,19,4.615912282519994,0.49999999999999994,-0.8660254037844387,0,0,0,0,1,0,0,0,0
434.98,19,1,0,61,3,29,6.077596370737269,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,0,1,0,0
643.94,1,0,0,74,1,64,6.469157289213027,0.25881904510252074,0.9659258262890683,1,0,0,1,0,0,0,1,0
103.4,13,0,0,98,1,69,4.648229675448539,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,0,1,0,0
99.75,21,0,0,27,0,30,4.612642200826793,-0.7071067811865477,0.7071067811865474,0,0,1,1,0,0,0,0,1
92.4,5,0,0,99,3,59,4.536891345234797,0.9659258262890683,0.25881904510252074,1,0,0,1,0,1,0,0,0
362.59,11,0,0,37,1,30,5.8960268591748415,0.258819045102521,-0.9659258262890682,0,0,1,1,0,0,0,1,0
135.73,18,0,0,25,3,42,4.91800817832099,-1.0,-1.8369701987210297e-16,0,0,1,1,0,0,0,1,0
227.6,12,0,0,31,0,34,5.43197375136071,1.2246467991473532e-16,-1.0,0,0,1,1,0,1,0,0,0
61.32,14,0,0,81,0,21,4.132282401562493,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,1,0,0,0
195.53,1,0,0,39,3,46,5.2808150914118945,0.25881904510252074,0.9659258262890683,1,0,1,2,0,0,0,1,0
275.4,5,0,0,26,2,37,5.621849091893515,0.9659258262890683,0.25881904510252074,1,0,1,2,0,0,1,0,0
1227.01,9,0,0,52,3,29,7.113150251996407,0.7071067811865476,-0.7071067811865475,0,0,0,0,1,0,0,0,0
32.54,9,0,0,72,3,46,3.5127387563950627,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,1,0,0,0
35.36,11,0,0,95,4,65,3.5934692693092782,0.258819045102521,-0.9659258262890682,0,1,0,1,0,0,0,1,0
42.55,0,0,0,27,5,41,3.7739097032985116,0.0,1.0,1,1,1,3,0,0,1,0,0
188.05,9,0,1,64,2,50,5.242011530336942,0.7071067811865476,-0.7071067811865475,0,0,0,1,0,0,1,0,0
372.71,13,0,0,26,1,20,5.923480095566111,-0.2588190451025208,-0.9659258262890683,0,0,1,1,1,0,0,0,0
57.0,5,0,0,75,3,57,4.060443010546419,0.9659258262890683,0.25881904510252074,1,0,0,1,1,0,0,0,0
48.13,12,0,0,97,2,31,3.894469846180557,1.2246467991473532e-16,-1.0,0,0,0,0,1,0,0,0,0
56.89,7,0,0,38,4,53,4.058544658090914,0.9659258262890683,-0.25881904510252063,0,1,1,2,1,0,0,0,0
80.12,22,0,0,34,1,43,4.395929539842873,-0.5000000000000004,0.8660254037844384,0,0,1,1,0,0,0,0,1
7.15,23,0,0,59,1,47,2.0980179272527715,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,1,0,0,0
59.13,23,0,0,64,3,38,4.0965088850514775,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,0,0,0,1
201.44,20,1,0,37,4,22,5.310443546345877,-0.8660254037844386,0.5000000000000001,0,1,1,3,0,0,0,1,0
39.17,20,0,0,56,2,44,3.693120448371191,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1
146.83,2,0,1,94,4,48,4.996062964912999,0.49999999999999994,0.8660254037844387,1,1,0,3,0,0,1,0,0
120.8,20,0,0,45,2,29,4.802380355275797,-0.8660254037844386,0.5000000000000001,0,0,0,0,1,0,0,0,0
132.96,17,0,1,73,4,42,4.897541247926004,-0.9659258262890683,-0.25881904510252063,0,1,0,2,1,0,0,0,0
437.04,4,0,1,64,2,68,6.0823102304075585,0.8660254037844386,0.5000000000000001,1,0,0,2,0,1,0,0,0
363.18,2,0,0,90,1,41,5.897648250903697,0.49999999999999994,0.8660254037844387,1,0,0,1,0,0,0,0,1
175.66,2,0,1,49,2,46,5.174226981316986,0.49999999999999994,0.8660254037844387,1,0,0,2,0,0,0,0,1
27.6,20,0,0,53,2,56,3.353406717825807,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,1,0
113.51,1,0,0,51,1,28,4.740662155425248,0.25881904510252074,0.9659258262890683,1,0,0,1,1,0,0,0,0
14.46,8,0,0,68,0,22,2.738256043159276,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,1,0,0
53.07,20,0,1,49,3,58,3.9902795033939134,-0.8660254037844386,0.5000000000000001,0,0,0,1,1,0,0,0,0
66.74,7,0,1,67,5,40,4.215676847389625,0.9659258262890683,-0.25881904510252063,0,1,0,2,0,0,1,0,0
28.68,0,0,0,55,0,68,3.39047341829918,0.0,1.0,1,0,0,1,0,0,0,0,1
232.68,18,1,0,29,1,58,5.453952658079485,-1.0,-1.8369701987210297e-16,0,0,1,2,0,0,0,0,1
57.26,11,0,0,88,2,22,4.064915751531289,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,0,0,1
120.37,8,0,0,45,2,23,4.798843731118271,0.8660254037844387,-0.4999999999999998,0,0,0,0,1,0,0,0,0
39.48,12,0,0,81,3,56,3.70080802497921,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,1,0,0
187.16,3,0,1,70,4,65,5.237292664710262,0.7071067811865476,0.7071067811865476,1,1,0,3,0,0,0,1,0
102.58,10,0,1,37,4,54,4.640344260995746,0.49999999999999994,-0.8660254037844387,0,1,1,3,0,1,0,0,0
275.43,11,0,0,85,3,21,5.621957624353872,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,1,0,0
66.6,16,0,0,32,4,55,4.213607983048918,-0.8660254037844385,-0.5000000000000004,0,1,1,2,1,0,0,0,0
9.61,4,0,0,94,2,46,2.3617969526258915,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,0,1,0
131.77,5,0,0,92,2,23,4.8886183079078105,0.9659258262890683,0.25881904510252074,1,0,0,1,0,1,0,0,0
41.14,17,0,0,65,0,35,3.740997408376043,-0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,0,0,1
87.04,13,0,1,74,3,22,4.477791256658261,-0.2588190451025208,-0.9659258262890683,0,0,0,1,0,0,0,0,1
275.65,12,0,1,84,0,38,5.622753169344119,1.2246467991473532e-16,-1.0,0,0,0,1,1,0,0,0,0
305.49,21,0,0,75,2,32,5.725185128416607,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,1,0,0,0
22.35,10,0,0,67,1,23,3.150596984114906,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,1
120.92,7,0,0,94,2,23,4.803365091938336,0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,1,0,0
334.02,14,0,0,92,3,68,5.814190231535541,-0.4999999999999997,-0.8660254037844388,0,0,0,0,0,0,0,0,1
121.91,19,0,0,35,0,39,4.811452380226889,-0.9659258262890684,0.2588190451025203,0,0,1,1,0,0,1,0,0
410.04,5,0,0,70,3,25,6.018690533361574,0.9659258262890683,0.25881904510252074,1,0,0,1,1,0,0,0,0
131.23,13,0,0,69,1,62,4.884542830568732,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,1,0,0,0
299.18,14,0,0,60,3,43,5.704382294728169,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0
303.13,3,0,0,61,1,20,5.717455241576844,0.7071067811865476,0.7071067811865476,1,0,0,1,0,1,0,0,0
78.24,4,0,0,81,1,33,4.37248122183035,0.8660254037844386,0.5000000000000001,1,0,0,1,0,0,1,0,0
36.12,8,1,1,51,1,20,3.6141559079179997,0.8660254037844387,-0.4999999999999998,0,0,0,2,0,1,0,0,0
184.4,6,0,0,26,2,35,5.2225156531317545,1.0,6.123233995736766e-17,0,0,1,1,0,1,0,0,0
214.77,11,0,0,73,1,18,5.374213025551294,0.258819045102521,-0.9659258262890682,0,0,0,0,0,1,0,0,0
247.2,8,0,0,89,3,34,5.514234872770507,0.8660254037844387,-0.4999999999999998,0,0,0,0,1,0,0,0,0
73.66,7,0,0,74,3,38,4.3129444734864375,0.9659258262890683,-0.25881904510252063,0,0,0,0,1,0,0,0,0
39.37,9,0,0,57,0,31,3.6980869348648495,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,0,1,0
151.7,20,0,0,99,5,68,5.028475212224587,-0.8660254037844386,0.5000000000000001,0,1,0,1,0,0,0,0,1
16.54,7,1,1,48,1,43,2.864483986944037,0.9659258262890683,-0.25881904510252063,0,0,0,2,0,0,0,1,0
425.31,13,1,0,26,3,41,6.055166781154964,-0.2588190451025208,-0.9659258262890683,0,0,1,2,1,0,0,0,0
104.21,6,0,1,43,2,34,4.655958352820196,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,1
55.48,3,1,1,40,2,55,4.033886593184986,0.7071067811865476,0.7071067811865476,1,0,0,3,0,0,0,0,1
99.89,22,0,0,56,1,49,4.614030814420288,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0,0,0
41.74,16,0,0,95,3,47,3.755135249891002,-0.8660254037844385,-0.5000000000000004,0,0,0,0,0,0,1,0,0
137.95,14,0,0,83,2,31,4.934114156188513,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0
44.43,7,0,0,25,1,67,3.816172679771312,0.9659258262890683,-0.25881904510252063,0,0,1,1,0,0,0,1,0
147.05,15,1,0,30,2,27,4.997550054547601,-0.7071067811865471,-0.7071067811865479,0,0,1,2,1,0,0,0,0
82.18,4,0,1,61,2,18,4.421006934314765,0.8660254037844386,0.5000000000000001,1,0,0,2,0,0,0,1,0
346.77,8,0,1,59,2,26,5.851541341730644,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,1,0,0
195.71,15,0,0,53,0,53,5.281730562943638,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,1,0,0,0
25.86,6,0,0,41,4,61,3.2906381910950917,1.0,6.123233995736766e-17,0,1,0,1,0,0,0,1,0
220.49,19,0,1,91,2,56,5.400377441739184,-0.9659258262890684,0.2588190451025203,0,0,0,1,0,1,0,0,0
137.18,0,0,1,29,2,52,4.928557183060649,0.0,1.0,1,0,1,3,0,0,1,0,0
